Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41
Quizartinib1_48h_1 - polya	(1, 0.0008170190788240209)	(2, 0.0036841044351880693)	(3, 0.006987267459390706)	(4, 0.015926859650081757)	(5, 0.023896554958855946)	(6, 0.03441254285684856)	(7, 0.046577606073449164)	(8, 0.0616974714186802)	(9, 0.08539603709156346)	(10, 0.11175116786737144)	(11, 0.12592619826561888)	(12, 0.13644719855059814)	(13, 0.14770752591610833)	(14, 0.15805559885004816)	(15, 0.16699769723423252)	(16, 0.17522553047281922)	(17, 0.1828769392079411)	(18, 0.19046068071874322)	(19, 0.197217378376748)	(20, 0.2040267060981126)	(21, 0.21200391998736678)	(22, 0.2205350026386458)	(23, 0.22838189446624707)	(24, 0.23671498783155343)	(25, 0.2453989482859253)	(26, 0.2582281527782571)	(27, 0.2690148095735288)	(28, 0.2819016565162071)	(29, 0.2933925536831032)	(30, 0.307254309894685)	(31, 0.3180284357224901)	(32, 0.32682016249707496)	(33, 0.3356093830781665)	(34, 0.34454646907536424)	(35, 0.35324546669069606)	(36, 0.3606287127220321)	(37, 0.36721749541598414)	(38, 0.3739416125585757)	(39, 0.38068577924911384)	(40, 0.3862871217066957)	(41, 0.39123685385601303)	(42, 0.39123685385601303)
Quizartinib1_48h_2 - polya	(1, 0.009425793728396142)	(2, 0.019869102015082324)	(3, 0.03005176617846268)	(4, 0.04440223012124288)	(5, 0.05928651327810134)	(6, 0.07228864512147257)	(7, 0.08435847298532681)	(8, 0.09948836310453114)	(9, 0.11798156489177793)	(10, 0.13977542350973401)	(11, 0.15422613519224723)	(12, 0.16856156197406746)	(13, 0.1836513529973786)	(14, 0.20022982295572492)	(15, 0.21643487008356577)	(16, 0.23445440130057407)	(17, 0.24974970019033788)	(18, 0.2667993345254293)	(19, 0.28108463743738304)	(20, 0.2977934294573823)	(21, 0.31256744010053444)	(22, 0.32826122375573696)	(23, 0.34278712124304994)	(24, 0.357483439887909)	(25, 0.3703477310891473)	(26, 0.38594126700461684)	(27, 0.39947471186857303)	(28, 0.41105081961424217)	(29, 0.42170214196087435)	(30, 0.4325589721739592)	(31, 0.4419571977739288)	(32, 0.4515032887900045)	(33, 0.46151553179583876)	(34, 0.4708084972690887)	(35, 0.48072299872868324)	(36, 0.4901863853594792)	(37, 0.498699924656305)	(38, 0.5071132162133978)	(39, 0.5155315201574772)	(40, 0.5243758769954219)	(41, 0.5316814310284649)	(42, 0.5316814310284649)
Quizartinib1_48h_2 - polyg	(1, 0.388369768499649)	(2, 0.40344702855549347)	(3, 0.4037753399031191)	(4, 0.4039933787370384)	(5, 0.40422896092541094)	(6, 0.4044244440178903)	(7, 0.40478282968743584)	(8, 0.40537178515836725)	(9, 0.40602088927313845)	(10, 0.40671510487078955)	(11, 0.40746195053180045)	(12, 0.40827395722363785)	(13, 0.40961727693606015)	(14, 0.4100884413128053)	(15, 0.410394196918991)	(16, 0.41067990297723006)	(17, 0.4109530780680025)	(18, 0.41120870980432167)	(19, 0.41152198399098733)	(20, 0.4117776157273065)	(21, 0.4119781112067725)	(22, 0.4123816083591979)	(23, 0.41269738873935685)	(24, 0.4129730700236226)	(25, 0.4132813318233016)	(26, 0.4135595193010607)	(27, 0.4138126448438866)	(28, 0.41405825180623246)	(29, 0.414293833994605)	(30, 0.4145394409569509)	(31, 0.41475246740388355)	(32, 0.4149579752703362)	(33, 0.41518102649124217)	(34, 0.4154115962926281)	(35, 0.41570732712484043)	(36, 0.4160005517635595)	(37, 0.4162912702087852)	(38, 0.41672985407011714)	(39, 0.4170556592242494)	(40, 0.41757694747086105)	(41, 0.4179979879777397)	(42, 0.4182937188099521)
Quizartinib2_48h_1 - polya	(1, 0.0011437702682026182)	(2, 0.00525606798301916)	(3, 0.00945948366469461)	(4, 0.019746222554818785)	(5, 0.02875970775015137)	(6, 0.040317302493834015)	(7, 0.05342869835658436)	(8, 0.06997140502394257)	(9, 0.09523266241495847)	(10, 0.12267355748688878)	(11, 0.13722365808951664)	(12, 0.14830168458657345)	(13, 0.1593245607352683)	(14, 0.1703042757417668)	(15, 0.17953596448931414)	(16, 0.18842715978175711)	(17, 0.19650069121370306)	(18, 0.20439678239439746)	(19, 0.21135771549417146)	(20, 0.21854164782862648)	(21, 0.22643773900932088)	(22, 0.2351347091618804)	(23, 0.24300202624777723)	(24, 0.25139926624619563)	(25, 0.26041754712399445)	(26, 0.27341624444878776)	(27, 0.2838828214313966)	(28, 0.2968503468201592)	(29, 0.3083791674690443)	(30, 0.3228909026119421)	(31, 0.3340216816161277)	(32, 0.34296083373323333)	(33, 0.352031867118161)	(34, 0.3614913507828556)	(35, 0.3707206416891698)	(36, 0.37820190633653283)	(37, 0.38476000210914113)	(38, 0.3915410971164305)	(39, 0.39838453599578116)	(40, 0.4042712362231133)	(41, 0.40921558484582565)	(42, 0.40921558484582565)
Quizartinib2_48h_2 - polya	(1, 0.013648512298971285)	(2, 0.027954033095819966)	(3, 0.047875298060657184)	(4, 0.07370244598269157)	(5, 0.1010785993413274)	(6, 0.12634705025604268)	(7, 0.15056764455188051)	(8, 0.18055504701339403)	(9, 0.21384427685292642)	(10, 0.24943303643502968)	(11, 0.27524819515089843)	(12, 0.3030127987893012)	(13, 0.33133130375255676)	(14, 0.3606784826048248)	(15, 0.38937584648291484)	(16, 0.41954788271937926)	(17, 0.44770813016124833)	(18, 0.47781062900195204)	(19, 0.5049326111898762)	(20, 0.5346634446394449)	(21, 0.5606320651942339)	(22, 0.5883535076904404)	(23, 0.61576323082634)	(24, 0.6434367164978838)	(25, 0.6677915899027769)	(26, 0.6931703415142161)	(27, 0.7158107584374218)	(28, 0.7365353002153573)	(29, 0.7562263724218141)	(30, 0.7762627337658415)	(31, 0.7944407681541938)	(32, 0.8120313314404295)	(33, 0.8304011931274321)	(34, 0.8474402529300481)	(35, 0.8650691816760138)	(36, 0.8816286732320039)	(37, 0.8969820506477301)	(38, 0.9122251273667322)	(39, 0.9275449350051945)	(40, 0.9430661613072397)	(41, 0.9568609419214319)	(42, 0.9568609419214319)
Quizartinib2_48h_2 - polyg	(1, 1.822436068097636)	(2, 1.8674483437259368)	(3, 1.8684914046623482)	(4, 1.8691340261128266)	(5, 1.8698222065467347)	(6, 1.870512784821876)	(7, 1.871627780995281)	(8, 1.8734309576025943)	(9, 1.8761668944495946)	(10, 1.8791713895147055)	(11, 1.8833580203077491)	(12, 1.8872137490106207)	(13, 1.8970688764787818)	(14, 1.8988504725149966)	(15, 1.900118930527322)	(16, 1.9014281518406104)	(17, 1.9024352451585247)	(18, 1.9032696939076537)	(19, 1.9041329167515801)	(20, 1.9049577741357766)	(21, 1.9055236646667952)	(22, 1.9065715212856726)	(23, 1.9073867873049366)	(24, 1.9080677742151453)	(25, 1.908863857504544)	(26, 1.9094896940663908)	(27, 1.9100220148201454)	(28, 1.9105495398914338)	(29, 1.911033903820526)	(30, 1.911556633209348)	(31, 1.9121896632948943)	(32, 1.9127171883661827)	(33, 1.9132351220725385)	(34, 1.9137410665727288)	(35, 1.914376494499508)	(36, 1.9149064174120296)	(37, 1.9155274582914101)	(38, 1.9165225624031588)	(39, 1.9171268183939072)	(40, 1.9179924390790668)	(41, 1.9186710281480424)	(42, 1.9192417143615272)
Quizartinib3_48h_1 - polya	(1, 0.0006459375650113886)	(2, 0.003363330079886885)	(3, 0.006198773253195498)	(4, 0.013845337600382038)	(5, 0.0205987262111218)	(6, 0.029677490055902554)	(7, 0.040288685089399985)	(8, 0.05370859484524004)	(9, 0.07538536857865671)	(10, 0.09861684720992837)	(11, 0.1108517956396096)	(12, 0.12038271577989833)	(13, 0.13019651202624377)	(14, 0.13986775653410394)	(15, 0.14767246421617258)	(16, 0.1553101190797038)	(17, 0.16231965534553427)	(18, 0.1690841808108432)	(19, 0.17538541312607497)	(20, 0.18125899022585096)	(21, 0.18791660188729592)	(22, 0.19547184402701534)	(23, 0.2024101044236032)	(24, 0.20927486158003455)	(25, 0.21641804010069499)	(26, 0.22729874701476613)	(27, 0.23627727916842442)	(28, 0.2476279613453142)	(29, 0.2570720140199635)	(30, 0.2685184731461481)	(31, 0.27777765403494925)	(32, 0.284916377813782)	(33, 0.2922978850222225)	(34, 0.2999689504494612)	(35, 0.30724577122495156)	(36, 0.31355368565292485)	(37, 0.3192958478687847)	(38, 0.3249667342154019)	(39, 0.3307467617367969)	(40, 0.33587416958043903)	(41, 0.34040241464826027)	(42, 0.34040241464826027)
Quizartinib3_48h_2 - polya	(1, 0.008363777781440566)	(2, 0.017248760356717907)	(3, 0.026478985423639266)	(4, 0.03944228414214369)	(5, 0.05305152042565949)	(6, 0.06593686116217978)	(7, 0.07710044418230763)	(8, 0.09156499089673507)	(9, 0.10813663049564794)	(10, 0.12736775096567665)	(11, 0.14114181269681605)	(12, 0.1550472893118716)	(13, 0.16900399545794523)	(14, 0.18394074480610514)	(15, 0.1988552204451267)	(16, 0.2159235637578242)	(17, 0.23073558033480948)	(18, 0.2463271767316361)	(19, 0.259655764280009)	(20, 0.27494443823255443)	(21, 0.2884534428249478)	(22, 0.303120680292534)	(23, 0.3169326073292085)	(24, 0.33049952356536155)	(25, 0.34278792889697474)	(26, 0.35708542279286476)	(27, 0.36977252751805395)	(28, 0.38086928941076686)	(29, 0.3912421557564842)	(30, 0.40165511477865057)	(31, 0.41101007261674655)	(32, 0.42010220068701026)	(33, 0.4300540939300133)	(34, 0.4390860829856036)	(35, 0.4483608554708016)	(36, 0.4570899220821107)	(37, 0.4652465543685648)	(38, 0.47333191078577636)	(39, 0.48143508617029857)	(40, 0.48969863226061666)	(41, 0.49698881726159)	(42, 0.49698881726159)
Quizartinib3_48h_2 - polyg	(1, 0.5787155108319275)	(2, 0.5962003725055116)	(3, 0.5966347098337089)	(4, 0.5969331775361625)	(5, 0.5971425504020628)	(6, 0.5974677465554823)	(7, 0.5978775828036275)	(8, 0.5984210613066026)	(9, 0.599131592628115)	(10, 0.5998844439969904)	(11, 0.6007107986060222)	(12, 0.6016195659388658)	(13, 0.6032165908840836)	(14, 0.6038469368526982)	(15, 0.6042990931482062)	(16, 0.6046777462035576)	(17, 0.6049673044223558)	(18, 0.6053147742849138)	(19, 0.6056622441474716)	(20, 0.6060408972028231)	(21, 0.6063037269706553)	(22, 0.6068271591354059)	(23, 0.6071501279179116)	(24, 0.6074419135076237)	(25, 0.6078673413521656)	(26, 0.6082860870839661)	(27, 0.6085489168517983)	(28, 0.6087827907977507)	(29, 0.6090523026783244)	(30, 0.6093329514134673)	(31, 0.6096180548904379)	(32, 0.6098252003854243)	(33, 0.6100479374768075)	(34, 0.6102884935355014)	(35, 0.6106337360271454)	(36, 0.6109544774387373)	(37, 0.61126408199576)	(38, 0.6117808320477691)	(39, 0.6121505756194653)	(40, 0.6127876037008213)	(41, 0.6132664884472953)	(42, 0.6136250951644223)
Untreated1_1 - polya	(1, 0.014497911506336978)	(2, 0.022547893420357876)	(3, 0.027181929061652798)	(4, 0.03525839117933824)	(5, 0.038290374498928345)	(6, 0.04062725247232422)	(7, 0.043301753042443)	(8, 0.047253923439375956)	(9, 0.05750176225755387)	(10, 0.06977533665606929)	(11, 0.07327072353978889)	(12, 0.07751417617703181)	(13, 0.08323390016857297)	(14, 0.08939716757149523)	(15, 0.093779641277977)	(16, 0.09928090358928568)	(17, 0.10579503369076312)	(18, 0.11072697162328415)	(19, 0.11500352451510774)	(20, 0.12014730407694511)	(21, 0.1277868428341656)	(22, 0.13482395695801774)	(23, 0.14499897521611818)	(24, 0.15102984160071772)	(25, 0.15841119837220893)	(26, 0.16763292929838583)	(27, 0.17588151273989078)	(28, 0.1825412839615232)	(29, 0.1880226861200835)	(30, 0.19328562659841128)	(31, 0.19842278610933253)	(32, 0.20395052862430577)	(33, 0.20928628966271107)	(34, 0.21685962791077018)	(35, 0.2213612625337424)	(36, 0.22620713980435367)	(37, 0.2323306869017791)	(38, 0.2369051420848288)	(39, 0.24114859472207173)	(40, 0.24114859472207173)		
